Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
Heuristic 2 Only,p=0,0,8.0,0.0,0
Heuristic 2 Only,p=0,1,12.0,0.0,0
Heuristic 2 Only,p=0,2,16.0,50.0,7.0
Heuristic 2 Only,p=0,3,20.0,50.0,7.0
Heuristic 2 Only,p=0,4,24.0,0.0,0
Heuristic 2 Only,p=0,5,28.000000000000004,33.33333333333333,11.0
Heuristic 2 Only,p=0,6,32.0,33.33333333333333,11.0
Heuristic 2 Only,p=0,7,36.0,25.0,13.0
Heuristic 2 Only,p=0,8,40.0,50.0,7.0
Heuristic 2 Only,p=0,9,40.0,50.0,7.0
Heuristic 2 Only,p=0,10,44.0,75.0,3.6666666666666665
Heuristic 2 Only,p=0,11,48.0,50.0,6.0
Heuristic 2 Only,p=0,12,52.0,50.0,6.5
Heuristic 2 Only,p=0,13,52.0,50.0,6.5
Heuristic 2 Only,p=0,14,56.00000000000001,50.0,7.5
Heuristic 2 Only,p=0,15,60.0,50.0,7.5
Heuristic 2 Only,p=0,16,64.0,75.0,5.0
Heuristic 2 Only,p=0,17,64.0,50.0,8.0
Heuristic 2 Only,p=0,18,64.0,50.0,8.0
Heuristic 2 Only,p=0,19,68.0,75.0,5.333333333333333
Heuristic 2 Only,p=0,20,68.0,100.0,3.25
Heuristic 2 Only,p=0,21,68.0,100.0,3.25
Heuristic 2 Only,p=0,22,68.0,100.0,2.5
Heuristic 2 Only,p=0,23,68.0,100.0,2.5
Heuristic 2 Only,p=0.5,0,4.0,0,0
Heuristic 2 Only,p=0.5,1,4.0,0,0
Heuristic 2 Only,p=0.5,2,8.0,0.0,0
Heuristic 2 Only,p=0.5,3,8.0,100.0,1.0
Heuristic 2 Only,p=0.5,4,12.0,100.0,1.0
Heuristic 2 Only,p=0.5,5,12.0,100.0,1.0
Heuristic 2 Only,p=0.5,6,16.0,50.0,9.0
Heuristic 2 Only,p=0.5,7,16.0,50.0,5.0
Heuristic 2 Only,p=0.5,8,20.0,50.0,5.0
Heuristic 2 Only,p=0.5,9,24.0,50.0,5.0
Heuristic 2 Only,p=0.5,10,24.0,50.0,5.0
Heuristic 2 Only,p=0.5,11,28.000000000000004,100.0,2.5
Heuristic 2 Only,p=0.5,12,32.0,66.66666666666666,3.5
Heuristic 2 Only,p=0.5,13,32.0,100.0,2.0
Heuristic 2 Only,p=0.5,14,36.0,100.0,2.0
Heuristic 2 Only,p=0.5,15,40.0,100.0,2.0
Heuristic 2 Only,p=0.5,16,44.0,100.0,1.75
Heuristic 2 Only,p=0.5,17,48.0,75.0,2.6666666666666665
Heuristic 2 Only,p=0.5,18,48.0,75.0,2.6666666666666665
Heuristic 2 Only,p=0.5,19,52.0,100.0,2.0
Heuristic 2 Only,p=0.5,20,52.0,100.0,2.0
Heuristic 2 Only,p=0.5,21,52.0,100.0,2.0
Heuristic 2 Only,p=0.5,22,52.0,100.0,2.0
Heuristic 2 Only,p=0.5,23,52.0,100.0,2.0
Heuristic 2 Only,p=1,0,8.0,0.0,0
Heuristic 2 Only,p=1,1,12.0,0.0,0
Heuristic 2 Only,p=1,2,16.0,0.0,0
Heuristic 2 Only,p=1,3,16.0,100.0,1.5
Heuristic 2 Only,p=1,4,16.0,100.0,1.5
Heuristic 2 Only,p=1,5,16.0,100.0,1.5
Heuristic 2 Only,p=1,6,20.0,100.0,1.5
Heuristic 2 Only,p=1,7,20.0,100.0,1.5
Heuristic 2 Only,p=1,8,24.0,100.0,1.5
Heuristic 2 Only,p=1,9,24.0,100.0,1.5
Heuristic 2 Only,p=1,10,24.0,100.0,1.5
Heuristic 2 Only,p=1,11,28.000000000000004,66.66666666666666,3.5
Heuristic 2 Only,p=1,12,32.0,66.66666666666666,3.5
Heuristic 2 Only,p=1,13,32.0,100.0,1.5
Heuristic 2 Only,p=1,14,36.0,66.66666666666666,2.5
Heuristic 2 Only,p=1,15,36.0,100.0,1.3333333333333333
Heuristic 2 Only,p=1,16,36.0,100.0,1.3333333333333333
Heuristic 2 Only,p=1,17,40.0,100.0,1.3333333333333333
Heuristic 2 Only,p=1,18,44.0,100.0,1.25
Heuristic 2 Only,p=1,19,48.0,100.0,1.25
Heuristic 2 Only,p=1,20,52.0,75.0,2.0
Heuristic 2 Only,p=1,21,52.0,100.0,1.25
Heuristic 2 Only,p=1,22,56.00000000000001,100.0,1.25
Heuristic 2 Only,p=1,23,60.0,100.0,1.25
