Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
All Heuristics,p=0,0,0.0,0,0
All Heuristics,p=0,1,0.0,0,0
All Heuristics,p=0,2,0.0,0,0
All Heuristics,p=0,3,4.0,0.0,0
All Heuristics,p=0,4,4.0,0.0,0
All Heuristics,p=0,5,8.0,0.0,0
All Heuristics,p=0,6,12.0,0.0,0
All Heuristics,p=0,7,12.0,50.0,8.0
All Heuristics,p=0,8,12.0,50.0,8.0
All Heuristics,p=0,9,16.0,66.66666666666666,4.5
All Heuristics,p=0,10,16.0,75.0,3.3333333333333335
All Heuristics,p=0,11,20.0,75.0,3.3333333333333335
All Heuristics,p=0,12,24.0,75.0,3.3333333333333335
All Heuristics,p=0,13,24.0,75.0,3.3333333333333335
All Heuristics,p=0,14,28.000000000000004,75.0,3.3333333333333335
All Heuristics,p=0,15,32.0,75.0,3.6666666666666665
All Heuristics,p=0,16,36.0,66.66666666666666,5.0
All Heuristics,p=0,17,40.0,75.0,3.6666666666666665
All Heuristics,p=0,18,44.0,50.0,6.0
All Heuristics,p=0,19,44.0,50.0,6.0
All Heuristics,p=0,20,44.0,50.0,6.0
All Heuristics,p=0,21,44.0,75.0,3.6666666666666665
All Heuristics,p=0,22,48.0,100.0,2.0
All Heuristics,p=0,23,52.0,100.0,2.0
All Heuristics,p=0.5,0,0.0,0.0,0
All Heuristics,p=0.5,1,0.0,100.0,1.0
All Heuristics,p=0.5,2,0.0,100.0,1.0
All Heuristics,p=0.5,3,4.0,100.0,1.0
All Heuristics,p=0.5,4,8.0,100.0,1.0
All Heuristics,p=0.5,5,12.0,66.66666666666666,2.5
All Heuristics,p=0.5,6,12.0,66.66666666666666,2.5
All Heuristics,p=0.5,7,16.0,100.0,1.6666666666666667
All Heuristics,p=0.5,8,20.0,100.0,1.5
All Heuristics,p=0.5,9,20.0,100.0,1.5
All Heuristics,p=0.5,10,20.0,100.0,1.5
All Heuristics,p=0.5,11,24.0,100.0,1.75
All Heuristics,p=0.5,12,24.0,100.0,1.75
All Heuristics,p=0.5,13,28.000000000000004,100.0,1.75
All Heuristics,p=0.5,14,32.0,75.0,3.0
All Heuristics,p=0.5,15,32.0,75.0,3.0
All Heuristics,p=0.5,16,36.0,100.0,2.25
All Heuristics,p=0.5,17,40.0,100.0,2.25
All Heuristics,p=0.5,18,40.0,100.0,2.25
All Heuristics,p=0.5,19,44.0,100.0,2.25
All Heuristics,p=0.5,20,48.0,100.0,2.25
All Heuristics,p=0.5,21,52.0,100.0,2.25
All Heuristics,p=0.5,22,52.0,100.0,2.25
All Heuristics,p=0.5,23,56.00000000000001,100.0,2.25
All Heuristics,p=1,0,8.0,0.0,0
All Heuristics,p=1,1,12.0,0.0,0
All Heuristics,p=1,2,16.0,50.0,4.0
All Heuristics,p=1,3,16.0,100.0,1.5
All Heuristics,p=1,4,20.0,100.0,1.5
All Heuristics,p=1,5,20.0,100.0,1.5
All Heuristics,p=1,6,20.0,100.0,1.5
All Heuristics,p=1,7,20.0,66.66666666666666,5.5
All Heuristics,p=1,8,24.0,100.0,1.3333333333333333
All Heuristics,p=1,9,24.0,100.0,1.3333333333333333
All Heuristics,p=1,10,28.000000000000004,100.0,1.25
All Heuristics,p=1,11,32.0,100.0,1.25
All Heuristics,p=1,12,36.0,100.0,1.25
All Heuristics,p=1,13,36.0,50.0,1.5
All Heuristics,p=1,14,36.0,100.0,1.25
All Heuristics,p=1,15,36.0,100.0,1.25
All Heuristics,p=1,16,40.0,100.0,1.25
All Heuristics,p=1,17,44.0,100.0,1.25
All Heuristics,p=1,18,44.0,100.0,1.25
All Heuristics,p=1,19,48.0,100.0,1.25
All Heuristics,p=1,20,48.0,100.0,1.5
All Heuristics,p=1,21,52.0,100.0,1.5
All Heuristics,p=1,22,56.00000000000001,100.0,1.5
All Heuristics,p=1,23,56.00000000000001,100.0,1.5
