Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
All Heuristics,p=0,0,8.0,0,0
All Heuristics,p=0,1,12.0,0.0,0
All Heuristics,p=0,2,12.0,0.0,0
All Heuristics,p=0,3,16.0,0.0,0
All Heuristics,p=0,4,20.0,0.0,0
All Heuristics,p=0,5,20.0,0.0,0
All Heuristics,p=0,6,24.0,0.0,0
All Heuristics,p=0,7,24.0,0.0,0
All Heuristics,p=0,8,24.0,0.0,0
All Heuristics,p=0,9,24.0,0.0,0
All Heuristics,p=0,10,28.000000000000004,0.0,0
All Heuristics,p=0,11,28.000000000000004,0.0,0
All Heuristics,p=0,12,28.000000000000004,0.0,0
All Heuristics,p=0,13,32.0,0.0,0
All Heuristics,p=0,14,32.0,0.0,0
All Heuristics,p=0,15,32.0,0.0,0
All Heuristics,p=0,16,36.0,0.0,0
All Heuristics,p=0,17,36.0,0.0,0
All Heuristics,p=0,18,36.0,33.33333333333333,9.0
All Heuristics,p=0,19,36.0,33.33333333333333,9.0
All Heuristics,p=0,20,40.0,66.66666666666666,4.5
All Heuristics,p=0,21,40.0,75.0,2.6666666666666665
All Heuristics,p=0,22,40.0,100.0,2.0
All Heuristics,p=0,23,44.0,100.0,2.0
All Heuristics,p=0.5,0,0.0,0.0,0
All Heuristics,p=0.5,1,0.0,0.0,0
All Heuristics,p=0.5,2,4.0,50.0,5.0
All Heuristics,p=0.5,3,8.0,100.0,1.0
All Heuristics,p=0.5,4,8.0,100.0,1.0
All Heuristics,p=0.5,5,12.0,66.66666666666666,2.0
All Heuristics,p=0.5,6,16.0,66.66666666666666,2.0
All Heuristics,p=0.5,7,20.0,100.0,1.3333333333333333
All Heuristics,p=0.5,8,24.0,50.0,3.5
All Heuristics,p=0.5,9,28.000000000000004,75.0,2.6666666666666665
All Heuristics,p=0.5,10,32.0,50.0,5.5
All Heuristics,p=0.5,11,32.0,75.0,2.6666666666666665
All Heuristics,p=0.5,12,36.0,75.0,2.6666666666666665
All Heuristics,p=0.5,13,36.0,75.0,2.6666666666666665
All Heuristics,p=0.5,14,36.0,75.0,2.6666666666666665
All Heuristics,p=0.5,15,40.0,75.0,2.6666666666666665
All Heuristics,p=0.5,16,40.0,75.0,2.6666666666666665
All Heuristics,p=0.5,17,44.0,75.0,2.6666666666666665
All Heuristics,p=0.5,18,48.0,75.0,2.6666666666666665
All Heuristics,p=0.5,19,48.0,75.0,2.6666666666666665
All Heuristics,p=0.5,20,52.0,75.0,2.6666666666666665
All Heuristics,p=0.5,21,52.0,100.0,1.5
All Heuristics,p=0.5,22,56.00000000000001,100.0,1.5
All Heuristics,p=0.5,23,60.0,100.0,1.5
All Heuristics,p=1,0,4.0,0.0,0
All Heuristics,p=1,1,8.0,0.0,0
All Heuristics,p=1,2,8.0,0.0,0
All Heuristics,p=1,3,8.0,0.0,0
All Heuristics,p=1,4,8.0,0.0,0
All Heuristics,p=1,5,8.0,0.0,0
All Heuristics,p=1,6,8.0,0.0,0
All Heuristics,p=1,7,8.0,50.0,5.0
All Heuristics,p=1,8,8.0,50.0,4.0
All Heuristics,p=1,9,8.0,100.0,1.5
All Heuristics,p=1,10,12.0,100.0,1.3333333333333333
All Heuristics,p=1,11,16.0,100.0,1.25
All Heuristics,p=1,12,16.0,100.0,1.25
All Heuristics,p=1,13,20.0,100.0,1.25
All Heuristics,p=1,14,20.0,100.0,1.25
All Heuristics,p=1,15,24.0,75.0,2.6666666666666665
All Heuristics,p=1,16,24.0,75.0,2.0
All Heuristics,p=1,17,24.0,100.0,1.25
All Heuristics,p=1,18,28.000000000000004,100.0,1.25
All Heuristics,p=1,19,32.0,100.0,1.25
All Heuristics,p=1,20,32.0,100.0,1.25
All Heuristics,p=1,21,36.0,100.0,1.25
All Heuristics,p=1,22,36.0,100.0,1.25
All Heuristics,p=1,23,36.0,100.0,1.25
