Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
All Heuristics,p=0,0,4.0,0.0,0
All Heuristics,p=0,1,4.0,0.0,0
All Heuristics,p=0,2,8.0,0.0,0
All Heuristics,p=0,3,8.0,0.0,0
All Heuristics,p=0,4,8.0,0.0,0
All Heuristics,p=0,5,8.0,0.0,0
All Heuristics,p=0,6,8.0,0.0,0
All Heuristics,p=0,7,8.0,0.0,0
All Heuristics,p=0,8,12.0,0.0,0
All Heuristics,p=0,9,16.0,0.0,0
All Heuristics,p=0,10,16.0,0.0,0
All Heuristics,p=0,11,16.0,0.0,0
All Heuristics,p=0,12,16.0,0.0,0
All Heuristics,p=0,13,20.0,0.0,0
All Heuristics,p=0,14,24.0,0.0,0
All Heuristics,p=0,15,28.000000000000004,0.0,0
All Heuristics,p=0,16,28.000000000000004,0.0,0
All Heuristics,p=0,17,28.000000000000004,0.0,0
All Heuristics,p=0,18,32.0,33.33333333333333,7.0
All Heuristics,p=0,19,32.0,33.33333333333333,8.0
All Heuristics,p=0,20,32.0,75.0,2.3333333333333335
All Heuristics,p=0,21,32.0,75.0,1.6666666666666667
All Heuristics,p=0,22,36.0,100.0,1.25
All Heuristics,p=0,23,40.0,100.0,1.25
All Heuristics,p=0.5,0,0.0,0.0,0
All Heuristics,p=0.5,1,0.0,0.0,0
All Heuristics,p=0.5,2,4.0,0.0,0
All Heuristics,p=0.5,3,8.0,0.0,0
All Heuristics,p=0.5,4,12.0,0.0,0
All Heuristics,p=0.5,5,12.0,50.0,7.0
All Heuristics,p=0.5,6,16.0,25.0,17.0
All Heuristics,p=0.5,7,20.0,25.0,15.0
All Heuristics,p=0.5,8,20.0,50.0,5.0
All Heuristics,p=0.5,9,20.0,25.0,13.0
All Heuristics,p=0.5,10,24.0,0.0,0
All Heuristics,p=0.5,11,24.0,0.0,0
All Heuristics,p=0.5,12,24.0,50.0,5.0
All Heuristics,p=0.5,13,24.0,50.0,5.0
All Heuristics,p=0.5,14,28.000000000000004,50.0,5.0
All Heuristics,p=0.5,15,28.000000000000004,75.0,2.3333333333333335
All Heuristics,p=0.5,16,32.0,100.0,1.75
All Heuristics,p=0.5,17,32.0,100.0,1.75
All Heuristics,p=0.5,18,32.0,100.0,1.75
All Heuristics,p=0.5,19,32.0,100.0,1.75
All Heuristics,p=0.5,20,36.0,100.0,1.75
All Heuristics,p=0.5,21,36.0,100.0,1.75
All Heuristics,p=0.5,22,36.0,100.0,1.75
All Heuristics,p=0.5,23,40.0,100.0,1.75
All Heuristics,p=1,0,4.0,0.0,0
All Heuristics,p=1,1,4.0,0.0,0
All Heuristics,p=1,2,4.0,0.0,0
All Heuristics,p=1,3,4.0,50.0,5.0
All Heuristics,p=1,4,8.0,50.0,5.0
All Heuristics,p=1,5,12.0,33.33333333333333,7.0
All Heuristics,p=1,6,12.0,66.66666666666666,2.0
All Heuristics,p=1,7,16.0,100.0,1.3333333333333333
All Heuristics,p=1,8,16.0,100.0,1.3333333333333333
All Heuristics,p=1,9,20.0,75.0,4.0
All Heuristics,p=1,10,24.0,75.0,4.0
All Heuristics,p=1,11,28.000000000000004,75.0,4.0
All Heuristics,p=1,12,28.000000000000004,100.0,1.3333333333333333
All Heuristics,p=1,13,32.0,100.0,1.25
All Heuristics,p=1,14,32.0,100.0,1.25
All Heuristics,p=1,15,32.0,100.0,1.25
All Heuristics,p=1,16,32.0,100.0,1.25
All Heuristics,p=1,17,32.0,100.0,1.25
All Heuristics,p=1,18,36.0,75.0,2.0
All Heuristics,p=1,19,36.0,100.0,1.25
All Heuristics,p=1,20,40.0,100.0,1.25
All Heuristics,p=1,21,44.0,100.0,1.25
All Heuristics,p=1,22,44.0,100.0,1.25
All Heuristics,p=1,23,48.0,100.0,1.25
